Unnamed: 0,,Jacket,Upper,Lower,Dress,Shoes,TryOnImage1,TryOnImage2,TryOnImage3,TryOnImage4,Style,Occasion,JacketName,JacketColor,JacketPattern,JacketSleeves,JacketCollar,JacketType,JacketType2,JacketShape,JacketMaterial,JacketFAB,UpperName,UpperColor,UpperPattern,UpperSleeves,UpperCollar,UpperType,UpperType2,UpperShape,UpperMaterial,UpperFAB,LowerName,LowerColor,LowerPattern,LowerSleeves,LowerCollar,LowerType,LowerType2,LowerShape,LowerMaterial,LowerFAB,DressName,DressColor,DressPattern,DressSleeves,DressCollar,DressType,DressType2,DressShape,DressMaterial,DressFAB,ShoesName,ShoesColor,ShoesPattern,ShoesSleeves,ShoesCollar,ShoesType,ShoesType2,ShoesShape,ShoesMaterial,ShoesFAB
Outfit 1,1,,,,RR2255310309,RR0000000000,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%201/upload_woman_outfit1_1.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%201/upload_woman_outfit1_2.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%201/upload_woman_outfit1_3.jpg,,经典典雅,"办公室, 商务晚宴, 约会夜晚, 鸡尾酒活动",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,连衣裙,经典黑,纯色无图案，星形纽扣装饰,无袖,圆领,连衣裙,连衣裙,,主料：78.7%粘纤 21.3%聚酯纤维,设计FAB：整套穿着端庄优雅，开衫和连衣裙的领圈和袋贴部分采用了黑白小香重工珠钻织带作为装饰，与门襟重工钻扣相呼应，提升整体造型的精致度。纱线FAB：粘胶尼龙材质在春夏季十分热销 高弹挺阔,高跟鞋,黑色,纯色,—,—,鞋,鞋履,,帮面材质：羊皮革,设计FAB：以经典尖头后空楦型搭配黑色亮面羊皮革，经典楦型易适配大众，亮面牛皮革自带高级光泽与质感，能轻松融入职场、约会等场景，为穿搭奠定优雅精致基调。鞋材FAB：鞋底用防滑耐磨橡胶，鞋面是好打理的亮面羊皮革，橡胶底抓地力强、耐穿，亮面皮革易清洁，行走更安全，还能让鞋子长久保持良好外观。工艺FAB：凭借精细鞋面拼接工艺，让鞋子线条流畅、整体感与精致感更强，从细节彰显品质，提升造型高级感，适配多样穿搭，满足对品质与独特性的追求。
Outfit 3,3,,RR2256241359B,RR2256430938,,RR0000000102,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%203/upload_woman_outfit3_1.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%203/upload_woman_outfit3_2.jpg,,,优雅时尚,"约会夜晚, 办公室",,,,,,,,,,,长袖毛衫,黑色,格纹暗纹,长袖,木耳边高领,,上装,,主料：80%绵羊毛 ，20%山羊绒,设计FAB：采用经典的黑色基础色，易于搭配各种服饰，展现出简约而不失时尚的风格。毛衣的领口设计为透明荷叶领，增添了女性化的柔美细节，使整体造型更加精致。钥匙与logo图案错落排布，巧妙地融入设计之中，既彰显了品牌特色，又为毛衣增添了一抹独特的时尚感。面料FAB：羊毛羊绒混纺材质，柔软保暖，亲肤舒适，兼具品质与实用性。,针织裤,米白色,口袋处精致装饰,—,—,长裤,下装,,面料：86%绵羊毛，14%聚酯纤维+，聚酯薄膜纤维，里料：100%聚酯纤维,设计FAB：版型为长款喇叭裤，修饰腿部线条遮盖腿部缺点，喇叭裤的裤腿从膝盖以下开始逐渐变宽，能够很好地遮盖小腿的粗壮部分，使腿部看起来更加修长和匀称。整体裤型形成一种视觉上的拉伸效果，能够拉长腿部线条，让穿着者显得更高挑。工艺FAB：腰部和袋盖采用进口花纱进行拼接，袋盖上手工缝制定制织带，内里腰头拼接日本进口出芽织带滚绳。更添一份精致感。                                                                                           面料FAB：面料为羊毛针织面料，兼顾了羊毛舒适保暖的特性，还带有独特的金葱纱线，视觉上更为精致。,,,,,,,,,,,米色,纯色,—,—,—,,,,,
Outfit 4,4,,,,RR2256310045,RR0000000105,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%204/upload_woman_outfit4_1.jpg,,,,经典典雅,"办公室, 商务晚宴, 面试",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,连衣裙,黑色,纯色,无袖（连衣裙）,V 领,连衣裙,连衣裙,,100%绵羊毛， 连接线除外,设计FAB：深V领设计可以视觉上拉长颈部线条更显优雅，其次V领适合叠搭多种不同领型的内搭。A型剪裁裙身可以很好的掩饰腰部线条，高腰位的装饰腰带拉长下半身比例，结合膝上长度更加显高显瘦。侧片的分割线条同样在视觉上显得穿着者更加修长。后中叠门襟设计使穿脱更容易，同时增加了设计层次感和整体丰富度，后中扣子和前片腰带的扣子相互呼应加强衣服的整体性；独有的5孔logo牛角扣也增加了品牌辨识度彰显身份。面料FAB：正反双色100%羊毛双面呢，无里衬设计更轻便，双层羊毛结构锁住空气，保暖性佳。双面支撑力避免软榻保持廓形感。工艺FAB：双面呢衣服需要工人手工制作，工艺费时费力，隐藏式缝线处理使得内外均无毛边，穿着舒适，更显高级。,黑色,纯色,—,—,—,,,,,
Outfit 8,8,,,,RR2255310952,RR0000000108,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%208/upload_woman_outfit8_1.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%208/upload_woman_outfit8_2.jpg,,,优雅时尚,"约会夜晚, 派对活动, 鸡尾酒活动",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,连衣裙,裸粉,蕾丝拼接 + 缎面光泽,无袖,V 领,连衣裙,连衣裙,,面料：100%桑蚕丝，针织：100%绵羊毛含微量其他纤维，里料：100%聚酯纤维,设计FAB：秀款，收腰吊带连衣裙，后背采用露背的设计语言，十分具有女人味。收腰的设计，增强腰臀比显腰细。工艺FAB：吊带部分采用手工毛织钩针工艺，各种组织花型相互交迭，与下摆真丝料形成对比，增加丰富度。面料FAB：吊带部分纱线采用羊毛材质，颜色为品牌订制粉色，娇俏不显俗气。下摆部分采用真丝材质，面料光泽感强，随着步伐摆动波光粼粼。,裸色,漆皮纯色,—,—,—,,,,,
Outfit 9,9,RR2256120756,,,RR2256310045,RR0000000106,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%209/upload_woman_outfit9_1.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%209/upload_woman_outfit9_2.jpg,,,经典典雅,"办公室, 面试, 商务晚宴",皮衣,浅灰,纯色荔枝纹 + 胸口刺绣 Logo,长袖,翻领夹克,,上装,,材质：，皮料：羊皮革，里料：100%聚酯纤维，含聚酯/聚酯复合纤维,设计FAB：1、经典短款方正剪裁，衣长精准控制在腰部上方，视觉优化身材比例，适配多样穿搭风格；2、立体翻领造型，领面弧度经多次调试定型，兼顾洒脱气质与颈部舒适度；3、前胸两侧设计有工装口袋，提升实用性（可收纳小物），口袋盖设计防丢失，同时强化工装风视觉层次；4、前门襟采用金属拉链闭合，提升硬朗风格，与皮质形成质感对比。5、暖灰的中性色调易搭配，不挑肤色，低调且有质感。面料FAB：选用进口全桶染无涂饰绵羊皮，皮面纹理细腻自然，其表面纹理是通过机械转动自然摔出来的非常自然且不规则，每张皮的纹理都是不一样的，跟市场普通压花皮是完全不一样的，光泽自然休闲，厚度适中手感舒适。工艺FAB：袋盖上饰有品牌定制的Logo刺绣，低调彰显品牌身份，细节提升精致度。,,,,,,,,,,,,,,,,,,,,,连衣裙,黑色,纯色,无袖（连衣裙）,V 领,连衣裙,连衣裙,,100%绵羊毛， 连接线除外,设计FAB：深V领设计可以视觉上拉长颈部线条更显优雅，其次V领适合叠搭多种不同领型的内搭。A型剪裁裙身可以很好的掩饰腰部线条，高腰位的装饰腰带拉长下半身比例，结合膝上长度更加显高显瘦。侧片的分割线条同样在视觉上显得穿着者更加修长。后中叠门襟设计使穿脱更容易，同时增加了设计层次感和整体丰富度，后中扣子和前片腰带的扣子相互呼应加强衣服的整体性；独有的5孔logo牛角扣也增加了品牌辨识度彰显身份。面料FAB：正反双色100%羊毛双面呢，无里衬设计更轻便，双层羊毛结构锁住空气，保暖性佳。双面支撑力避免软榻保持廓形感。工艺FAB：双面呢衣服需要工人手工制作，工艺费时费力，隐藏式缝线处理使得内外均无毛边，穿着舒适，更显高级。,黑色,纯色,—,—,—,,,,,
Outfit 10,10,,RR2256241380A,RR2256464345,,RR0000000102,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2010/upload_woman_outfit10_1.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2010/upload_woman_outfit10_2.jpg,,,优雅时尚,办公室,,,,,,,,,,,长袖毛衫,白色,格纹暗纹,长袖,圆领,,上装,,主料：80.5%绵羊毛 ，19.5%山羊绒,设计FAB：经典的白色基础色，易于搭配各种服饰，展现出简约而不失时尚的风格。钥匙与logo图案错落排布，巧妙地融入设计之中，既彰显了品牌特色，又为毛衣增添了一抹独特的时尚感。面料FAB：羊毛羊绒混纺材质，柔软保暖，亲肤舒适，兼具品质与实用性。,半裙,米白色,精致暗纹,—,—,半身裙,下装,,主料：40.2%绵羊毛，30.8%粘纤 17.9%锦纶，9.6%聚酯纤维，1.5%氨纶，罗纹：49.7%粘纤，18.6%绵羊毛 ，16.5%聚酯纤维，13.0%锦纶 1.3%氨纶，0.9%聚酯薄膜纤维,设计FAB：直筒短半裙则修饰身形，整体造型简洁干练。以白色为主色调，搭配金葱线条，呈现出优雅而奢华的气质。品牌定制的logo贝壳纽扣，为套装增添精致细节，彰显品牌特色。工艺FAB：同色系的异材质纱线通过提花工艺交织，形成独特的立体浮雕肌理，钥匙与品牌logo图案相互组合，变幻出丰富的视觉效果。,,,,,,,,,,,米色,纯色,—,—,—,,,,,
Outfit 12,12,,RR2256242361,RR2256464905,,RR0000000000,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2012/upload_woman_outfit12_1.jpg,,,,优雅时尚,"办公室, 约会夜晚",,,,,,,,,,,短袖毛衫,灰色,纯色坑条,短袖,U 型领,T恤,上装,,主料：89.4%山羊绒，6.4%锦纶，4.2%聚酯薄膜纤维,设计FAB：整体设计以灰色为主色调，简约大气。U领领口修饰颈部线条，展现出优雅气质，同时增加了穿着的舒适度。前领采用四平织带打造大镂空造型，织带可调节，可根据个人喜好调整松紧度，凹出个性造型。这款毛衣适合与牛仔裤、半身裙或连衣裙搭配，展现出时尚与优雅。其合体的版型设计，可叠穿，增加层次感。面料FAB：采用金丝纯绒材质，质地柔软且富有光泽，具有良好的抗皱性和弹性。金丝纯绒面料手感丝滑坚韧，保暖性好，且具有良好的透气性和亲肤性。工艺FAB：毛衣表面采用细小绞花挑孔肌理，增加了毛衣的层次感和立体感。,半裙,灰色,条纹与亮片、羽毛装饰,—,—,半身裙,下装,,面料：底布:68%绵羊毛 ，28%锦纶 4%其他纤维 ，装饰纱1:100%锦纶，装饰纱2:100%棉 ，装饰及连接线除外，装饰羽毛：禽鸟羽毛，  装饰除外，里料：，100%聚酯纤维,设计FAB：版型为H型包臀短裙，短款设计，长度在膝盖以上，展现腿部线条，增添活力。工艺FAB：工艺设计亮点之一是裙摆处的鸵鸟毛织带，羽毛细长且轻盈，随着身体的移动会产生自然的摆动，增强了裙子的动感和活力。而且羽毛织带是可脱卸，可随喜好自由切换，不仅增强了时尚感，使得裙子在人群中脱颖而出，适合参加派对或者需要彰显个性的场合。                                                                                           面料FAB：意大利进口针织面料，杂灰色的布底上绣有珠片盘带绣，视觉效果丰富且手感柔软舒适，具有一定弹性，包容性高。,,,,,,,,,,,高跟鞋,黑色,纯色,—,—,鞋,鞋履,,帮面材质：羊皮革,设计FAB：以经典尖头后空楦型搭配黑色亮面羊皮革，经典楦型易适配大众，亮面牛皮革自带高级光泽与质感，能轻松融入职场、约会等场景，为穿搭奠定优雅精致基调。鞋材FAB：鞋底用防滑耐磨橡胶，鞋面是好打理的亮面羊皮革，橡胶底抓地力强、耐穿，亮面皮革易清洁，行走更安全，还能让鞋子长久保持良好外观。工艺FAB：凭借精细鞋面拼接工艺，让鞋子线条流畅、整体感与精致感更强，从细节彰显品质，提升造型高级感，适配多样穿搭，满足对品质与独特性的追求。
Outfit 13,13,,RR2256241380B,RR2256464907,,RR0000000103,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2013/upload_woman_outfit13_1.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2013/upload_woman_outfit13_2.jpg,,,华丽风格,"约会夜晚, 派对活动, 鸡尾酒活动, 庆祝活动",,,,,,,,,,,长袖毛衫,黑色,格纹暗纹,长袖,圆领,,上装,,主料：80%绵羊毛 ，20%山羊绒,设计FAB：经典的黑色基础色，易于搭配各种服饰，展现出简约而不失时尚的风格。钥匙与logo图案错落排布，巧妙地融入设计之中，既彰显了品牌特色，又为毛衣增添了一抹独特的时尚感。面料FAB：羊毛羊绒混纺材质，柔软保暖，亲肤舒适，兼具品质与实用性。,半裙,黑色,亮片与网纱拼接,—,—,半身裙,下装,,面料1：底布:95%聚酯纤维，5%氨纶，连接线 1:100%锦纶，连接线 2:100%聚酯纤维，装饰除外，面料2：100%聚酯纤维，里料：100%聚酯纤维,设计FAB：裙子的上半部分采用珠片丝绒面料，微抽褶的设计更好的包裹女性的臀部，能更好的勾勒出身材曲线，增强女人味，下半部分采用柔软的雪纺面料，形成了自然的褶皱效果，不仅增强了裙子的层次感，还使整体造型更加灵动和有动感工艺FAB：采用立裁人工捏褶工艺，耗时费力，下摆弧线也更为灵动自然。                                                                                           面料FAB：采用意大利进口雪花丝绒料和珠片丝绒料，面料柔软，光滑且光泽感强，奢华的质感呼之欲出。下摆处采用日本进口雪纺，垂坠性强且透光感好，增添一份性感和灵动感。,,,,,,,,,,,米白,纯色,—,—,—,,,,,
Outfit 14,14,RR2256120200,RR2256241380B,RR2256464953,,RR0000000103,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2014/upload_woman_outfit14_1.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2014/upload_woman_outfit14_2.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2014/upload_woman_outfit14_3.jpg,,华丽风格,"约会夜晚, 派对活动, 鸡尾酒活动",皮衣,黑色,纯色无图案,长袖,翻领夹克,,上装,,材质：，皮料：羊皮革，里料：54.1%聚酯纤维，45.9%粘纤,设计FAB：黑色箱型皮衣，微落肩短款版型，H型版型设计贴合都市通勤及精致优雅女性的需求，微落的肩型增加了包容度和适穿性，门襟搭配品牌定制R字手缝牛角扣，不同材质碰撞的设计增加了整体质感，左袋盖左上处手缝枪色LOGO金属标，精致点缀。面料FAB：新雅斯特绵羊皮，采用优质绵羊原料皮，仿生态面料工艺处理，手感柔软丝滑，赋予丝棉面料触感，抗老化性能优异，透气性能优良，保暖排湿，是一种会呼吸的真皮产品，低铬结合鞣制工艺处理，卫生环保，大部分可自然生物解减。工艺FAB：两边袋盖距上边0.2cm卷边，嵌入0.5cm珠链平整装饰，袋盖呈角型且嵌珠链，优雅通勤基础上添加精致细节点缀，品牌商标垫皮贴标，结合品牌定制贝母锦葵领链，更显精致。,长袖毛衫,黑色,格纹暗纹,长袖,圆领,,上装,,主料：80%绵羊毛 ，20%山羊绒,设计FAB：经典的黑色基础色，易于搭配各种服饰，展现出简约而不失时尚的风格。钥匙与logo图案错落排布，巧妙地融入设计之中，既彰显了品牌特色，又为毛衣增添了一抹独特的时尚感。面料FAB：羊毛羊绒混纺材质，柔软保暖，亲肤舒适，兼具品质与实用性。,半裙,酒红色,亮片与蕾丝拼接,—,—,半身裙,下装,,面料：底布:96%锦纶，4%氨纶，连接线1:100%锦纶，连接线2:100%聚酯纤维，装饰除外，蕾丝：86.7%锦纶 13.3%氨纶，里料：，100%聚酯纤维,设计FAB：短款珠片裙通常采用贴身剪裁，能够很好地勾勒出穿着者的身材曲线，尤其是腰部和臀部的轮廓，展现出女性的曼妙身姿。下摆拼接手工蕾丝，层次对比丰富，增添一份性感女人味。工艺FAB：摆处采用纯手工波浪剪裁。更具有趣味性。                                                                                           面料FAB：面料采用意大利进口珠片面料，区别于传统珠片面料，此款由大小珠片叠加，且亮面和亚光面相互交叉叠加。呈现出独特的光泽和立体感，能够在不同光线下展现出丰富的视觉层次，增添高贵和华丽的氛围。,,,,,,,,,,,米白,纯色,—,—,—,,,,,
Outfit 20,20,RR2256130901A,RR2256210955,RR2256410702,,RR2256722509,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2020/upload_woman_outfit20_1.jpg,https://maistyle01.oss-cn-shanghai.aliyuncs.com/outfit_tryon/woman/Outfit%2020/upload_woman_outfit20_2.jpg,,,日常休闲,"日常休闲, 周末早午餐, 旅行",羽绒服,豆沙绿,同色系提花 Logo + 前片菱格拼接,长袖,连帽拉链,,上装,,面料1：37%粘纤 35%绵羊毛， 21%锦纶 6%聚酯纤维 1%氨纶，面料2：100%聚酯纤维，里料：100%聚酯纤维，填充物：鹅绒    ，绒子含量90%,设计FAB：版型为修身带帽型，可调节抽绳，防风保暖。采用立体剪裁，非常贴合身形，凸显身材曲线，告别臃肿。工艺FAB：内里填充采用高蓬松度鹅绒 ，重量轻，保暖性强，穿着无负担。采用进口日本双头拉链，拉链顺滑耐用，不易卡顿。胸口采用金葱立体包针绣，顺色绣线，雅致低调。口袋处镶嵌品牌订制金属logo。                                                                                                             面料FAB：采用提花针织面料，肌理丰富，凹凸有致。增加了视觉上的层次感和质感，颜色为波段主题色：鼠尾草绿，给人一种清新的感觉。图案为品牌订制“R”字。彰显品牌调性,短袖T恤,白色,小面积刺绣字母图案,短袖,圆领,T恤,上装,,面料：93%棉，7%氨纶,设计FAB：版型为品牌经典直身款，较为宽松的剪裁，没有过多的修身设计，穿着时不会紧绷身体，活动自如，适合日常休闲穿着。圆领设计简约经典，适合各种脸型和身材。直身版型对身材的包容性很强，能够遮盖身体的不完美部分，修饰身形。工艺FAB：采用多种工艺组合，包括包针绣、珠片绣、海绵绣、链条绣等工艺，采用各种绿色银葱丝光线相互叠加，形成丰富的肌理效果。面料FAB:面料采用精选纯棉面料，质地柔软细腻，触感舒适，对皮肤无刺激，特别适合贴身穿着。同时具有良好的透气性和吸湿性，能够调节皮肤的湿度，保持干爽。,牛仔裤(水洗产品),深蓝色,侧边装饰,—,—,牛仔裤,下装,,面料：75.1%棉，22.9%聚酯纤维，2.0%氨纶,设计FAB：1、深蓝色牛仔直筒裤，H型版型对所有腿型都十分友好，包容大粗腿；2、五金采用品牌定制开发的定制logo的工字扣和配套撞钉，尽显品牌细节；3、定位在腰下、侧缝和后口袋都做了深浅不一的水洗效果，且加入了不规则排列的珠片绣，丰富了层次细节；4、腰部有传统的五袋设计，包括两个前口袋、一个小零钱袋和两个后口袋，既实用又经典；5、后侧饰有品牌定制的绣花牌，图案选用品牌经典的锦葵花元素，凸显精致度。 面料FAB：面料采用弹力透气牛仔面料，舒适无束缚感，面料耐磨抗皱易打理。工艺FAB：关键部位（如裤裆、后袋）用双线平行车缝，增强牢固度，缝线选用橙色，成为牛仔裤的标志性装饰。,,,,,,,,,,,休闲鞋,白色,品牌标识与厚底设计,—,—,鞋,鞋履,,帮面材质：牛皮革+织物,设计FAB：延续经典的Rich Max系列鞋型，以极简主义为基调，打造既有造型感又不失实穿属性的都市休闲鞋。鞋面采用白色自然摔牛皮革与白色粒面牛皮革拼接，在同色系中呈现出微妙的质感对比，摔纹的自然肌理与粒面的精致细腻相辅相成，丰富视觉层次，提升搭配多样性。流畅的线条分割设计勾勒鞋身结构，简约而有型，配合侧身立体双R绣花标，聚焦视觉吸引点，兼具时尚与品牌识别度。后跟饰有品牌经典老花图案，延续品牌美学基因，于细节中展现身份识别与质感表达。鞋材FAB：鞋底采用组合结构，中底部分选用轻盈柔韧的EPR材质，具备优异的减震缓冲性能，带来舒适的穿着体验。外底为品牌专属橡胶大底，兼具出色的防滑性与耐磨性，从容应对多变地面。鞋舌与鞋口填充15mm空气棉，贴合脚型的同时提供良好的包裹感与脚踝支撑力。内里采用白色透气网布，轻盈柔软，有效提升透气性与舒适度。工艺FAB：鞋面双R标识采用立体硅胶片，叠加绣花线的创新工艺打造，强化视觉冲击力，打造立体浮雕般的层次感。LOGO边缘使用闪光线包针绣，在不同光线下呈现细腻光泽，增强整体色彩张力，突出独特工艺语言。辅件方面，点缀品牌定向开发的双色金属装饰标与电镀气眼细节，为鞋款增添金属质感，使整体更显精致细腻。整体细节处理考究，彰显设计功力与品牌调性，
